Customer Company,Taiwan Company,Parent Company/ Supplier,Industry Type ,Tier ,# Of Migrant Workers ,"Location
公司所在地","Address 
公司所在地",Year,Month,Supplier List Link,Company Latitude,Company Longitude,Customer Latitude,Customer Longitude
Adidas,"Summitex Enterprise Co., Ltd",,Apparel & Footwear,,,Chaiyi,"No. 11, Zhongxing Rd., Jiatai Industrial Park, Guogou, Chiayi County",2023,April,https://docs.google.com/spreadsheets/d/1aOtkvFOASS39qwGRbt4wFa5Mncv9n9r2/edit?gid=1221272661#gid=1221272661,,,,
Adidas,"Yu Yuang Textile Co., Ltd",,Apparel & Footwear,,,Changhua,"No. 101, sec 3 Chang-Ho Rd, Ho-Mei,",2023,April,https://docs.google.com/spreadsheets/d/1aOtkvFOASS39qwGRbt4wFa5Mncv9n9r2/edit?gid=1221272661#gid=1221272661,,,,
Adidas,Sun Luen International Corporation,,Apparel & Footwear,,,Changhua,"No.22, Gongye Rd., Fangyuan Township, Changhua County, Taiwan",2023,April,https://docs.google.com/spreadsheets/d/1aOtkvFOASS39qwGRbt4wFa5Mncv9n9r2/edit?gid=1221272661#gid=1221272661,,,,
Adidas,"CHEN TAI LACES CO., LTD",,Apparel & Footwear,,,Changhua,"NO.18, LN. 260, SEC. 3, LUCAO ROAD, LUKANG TOWN, CHANGHUA COUNTY",2023,April,https://docs.google.com/spreadsheets/d/1aOtkvFOASS39qwGRbt4wFa5Mncv9n9r2/edit?gid=1221272661#gid=1221272661,,,,
Adidas,"Long John Tsung Right Industrial Co., Ltd",,Apparel & Footwear,,,Changhua,"No.350, Fuxing Rd., Beidou Township",2023,April,https://docs.google.com/spreadsheets/d/1aOtkvFOASS39qwGRbt4wFa5Mncv9n9r2/edit?gid=1221272661#gid=1221272661,,,,
Adidas,Taiwan Paiho Ltd.,,Apparel & Footwear,,,Changhua,"No.575, Ho Kang Rd., Ho Mei Town,",2023,April,https://docs.google.com/spreadsheets/d/1aOtkvFOASS39qwGRbt4wFa5Mncv9n9r2/edit?gid=1221272661#gid=1221272661,,,,
Adidas,"Ting Sho Tech Co., Ltd",,Apparel & Footwear,,,Changhua,"No. 11, Xinggong Rd., Pitou Township, Changhua County 523, Taiwan",2023,April,https://docs.google.com/spreadsheets/d/1aOtkvFOASS39qwGRbt4wFa5Mncv9n9r2/edit?gid=1221272661#gid=1221272661,,,,
Adidas,"Xin Da Co., Ltd",,Apparel & Footwear,,,Changhua,"No.34, Gongye Rd., Fangyuan Township, Houlia Village",2023,April,https://docs.google.com/spreadsheets/d/1aOtkvFOASS39qwGRbt4wFa5Mncv9n9r2/edit?gid=1221272661#gid=1221272661,,,,
Adidas,"Formosa Taffeta Co., Ltd.",,Apparel & Footwear,,,Douliu,"No. 317, Shu Liu Road, Douliu",2023,April,https://docs.google.com/spreadsheets/d/1aOtkvFOASS39qwGRbt4wFa5Mncv9n9r2/edit?gid=1221272661#gid=1221272661,,,,
Adidas,"San Fang Chemical Industry Co., Ltd.",,Apparel & Footwear,,,Kaohsiung,"402 FengJen RD, Jenwu Dist.,",2023,April,https://docs.google.com/spreadsheets/d/1aOtkvFOASS39qwGRbt4wFa5Mncv9n9r2/edit?gid=1221272661#gid=1221272661,,,,
Adidas,"GWAN MIN ENTERPRISE CO., LTD",,Apparel & Footwear,,,New Taipei,"No.32, Zhongshan Rd. Tucheng Dist.,",2023,April,https://docs.google.com/spreadsheets/d/1aOtkvFOASS39qwGRbt4wFa5Mncv9n9r2/edit?gid=1221272661#gid=1221272661,,,,
Adidas,"Hope Land Enterprise Co., Ltd.",,Apparel & Footwear,,,Tainan,"No.588 Sec.6,	Changrong Road, Liuying Dist",2023,July ,https://docs.google.com/spreadsheets/d/1aOtkvFOASS39qwGRbt4wFa5Mncv9n9r2/edit?gid=1221272661#gid=1221272661,,,,
Adidas,"De Licacy Industrial Co., Ltd.",,Apparel & Footwear,,,Tainan,"NO. 240, San She Village, Hsin Shih Dist.",2023,April,https://docs.google.com/spreadsheets/d/1aOtkvFOASS39qwGRbt4wFa5Mncv9n9r2/edit?gid=1221272661#gid=1221272661,,,,
Adidas,Grand Amos Products Co.Ltd.,,Apparel & Footwear,,,Taipei,"9-5, No 376 JenAi Rd, Sec 4 ",2023,July,https://docs.google.com/spreadsheets/d/1aOtkvFOASS39qwGRbt4wFa5Mncv9n9r2/edit?gid=1221272661#gid=1221272661,,,,
Adidas,NIFCO TAIWAN CORPORATION,,Apparel & Footwear,,,Taoyuan,"No.198-81, Sec. 2, Zhong’ai Rd, Guanyin Township",2023,July,https://docs.google.com/spreadsheets/d/1aOtkvFOASS39qwGRbt4wFa5Mncv9n9r2/edit?gid=1221272661#gid=1221272661,,,,
Adidas,"YKK TAIWAN CO.,LTD",,Apparel & Footwear,,,Taoyuan,"NO.12.CHI LIN NORTH ROAD, ZHONG LI ,TAOYUAN 32062,TAIWAN",2023,April,https://docs.google.com/spreadsheets/d/1aOtkvFOASS39qwGRbt4wFa5Mncv9n9r2/edit?gid=1221272661#gid=1221272661,,,,
Adidas,Far Eastern New Century Corporation Kuan Yin Dyeing & Finishing Plant,,Apparel & Footwear,,,Taoyuan,"No. 1, GuoJian 2nd Road,Shu Lin Village, Kuan Yin District.",2023,April,https://docs.google.com/spreadsheets/d/1aOtkvFOASS39qwGRbt4wFa5Mncv9n9r2/edit?gid=1221272661#gid=1221272661,,,,
Adidas,"Fortune Spring Co., Ltd",,Apparel & Footwear,,,Taoyuan,"No.292,Sec.2, Hsin Hua Rd., Daku Chun Guan-In Shiang",2023,April,https://docs.google.com/spreadsheets/d/1aOtkvFOASS39qwGRbt4wFa5Mncv9n9r2/edit?gid=1221272661#gid=1221272661,,,,
Adidas,"HUGE-BAMBOO ENTERPRISE.CO.,LTD",,Apparel & Footwear,,,Taoyuan,"No.251, Chaoyin N. Rd., Dayuan Dist., Taoyuan City 337, Taiwan (R.O.C.)",2023,April,https://docs.google.com/spreadsheets/d/1aOtkvFOASS39qwGRbt4wFa5Mncv9n9r2/edit?gid=1221272661#gid=1221272661,,,,
Adidas,"Men Chuen Fiber Industry Co., Ltd (Luzhu Factory)",,Apparel & Footwear,,,Taoyuan,"No.31, XingLong St., ChangXing Vil., LuZhu Dist.,",2023,April,https://docs.google.com/spreadsheets/d/1aOtkvFOASS39qwGRbt4wFa5Mncv9n9r2/edit?gid=1221272661#gid=1221272661,,,,
Adidas,"YKK TAIWAN CO., LTD. (3rd)",,Apparel & Footwear,,,Taoyuan,"NO.28, HEDING RD., ZHONGLI DIST",2023,April,https://docs.google.com/spreadsheets/d/1aOtkvFOASS39qwGRbt4wFa5Mncv9n9r2/edit?gid=1221272661#gid=1221272661,,,,
Adidas,"Chia Lin Sport CO.,LTD",,Apparel & Footwear,,,Changhua,"No.146,Jiagdian Rd.,Hemei Township",2022,January,https://docs.google.com/spreadsheets/d/1Vm-716G97JduFLoJZb41DfodC0qyi9_e/edit?gid=278493818#gid=278493818,,,,
Adidas,Everstrong Spring Industry Co Ltd,,Apparel & Footwear,,,Changhua,"No 45, Sec 4, Fu San Road, Fu Hsing Township",2022,January,https://docs.google.com/spreadsheets/d/1Vm-716G97JduFLoJZb41DfodC0qyi9_e/edit?gid=278493818#gid=278493818,,,,
Adidas,Jou Young Industrial Co Ltd,,Apparel & Footwear,,,Changhua,"No 500, Sec 1, Sing Loa Road, Tien Jhong Township",2022,January,https://docs.google.com/spreadsheets/d/1Vm-716G97JduFLoJZb41DfodC0qyi9_e/edit?gid=278493818#gid=278493818,,,,
Adidas,"LIFE-UP CO., LTD.",,Apparel & Footwear,,,Changhua,"NO.163 DONGXING RD, XIHU TOWNSHIP",2022,January,https://docs.google.com/spreadsheets/d/1Vm-716G97JduFLoJZb41DfodC0qyi9_e/edit?gid=278493818#gid=278493818,,,,
Adidas,Pang mei sport Co. Ltd.,,Apparel & Footwear,,,Changhua,"No 368, Fudao Rd, Lukang Township",2022,January,https://docs.google.com/spreadsheets/d/1Vm-716G97JduFLoJZb41DfodC0qyi9_e/edit?gid=278493818#gid=278493818,,,,
Adidas,"Pinda Industry Co., Ltd.",,Apparel & Footwear,,,Changhua,"No. 42, Ln. 461, Caofeng Rd, Xianxi Township",2022,January,https://docs.google.com/spreadsheets/d/1Vm-716G97JduFLoJZb41DfodC0qyi9_e/edit?gid=278493818#gid=278493818,,,,
Adidas,"Super Knitting Co., Ltd",,Apparel & Footwear,,,Changhua,"No.17, Alley 10, Lane 489, Ming-De St., Huatan,",2022,January,https://docs.google.com/spreadsheets/d/1Vm-716G97JduFLoJZb41DfodC0qyi9_e/edit?gid=278493818#gid=278493818,,,,
Adidas,"XU SHENG WANG Enterprise Co., Ltd",,Apparel & Footwear,,,Changhua,"No.21, ZiZhi Ln.,",2022,January,https://docs.google.com/spreadsheets/d/1Vm-716G97JduFLoJZb41DfodC0qyi9_e/edit?gid=278493818#gid=278493818,,,,
Adidas,"Yao I Fabric Co.,Ltd",,Apparel & Footwear,,,Changhua,"No.13 Lugong N.1st Rd, Lukang Township",2022,January,https://docs.google.com/spreadsheets/d/1Vm-716G97JduFLoJZb41DfodC0qyi9_e/edit?gid=278493818#gid=278493818,,,,
Adidas,"Yu Yuang Textile Co., Ltd",,Apparel & Footwear,,,Changhua,"No. 101, sec 3 Chang-Ho Rd, Ho-Mei,",2022,April,https://docs.google.com/spreadsheets/d/1Vm-716G97JduFLoJZb41DfodC0qyi9_e/edit?gid=278493818#gid=278493818,,,,
Adidas,Sun Luen International Corporation,,Apparel & Footwear,,,Changhua,"No.22, Gongye Rd., Fangyuan Township, Changhua County, Taiwan",2022,April,https://docs.google.com/spreadsheets/d/1Vm-716G97JduFLoJZb41DfodC0qyi9_e/edit?gid=278493818#gid=278493818,,,,
Adidas,"CHEN TAI LACES CO., LTD",,Apparel & Footwear,,,Changhua,"NO.18, LN. 260, SEC. 3, LUCAO ROAD, Lukang Township",2022,April,https://docs.google.com/spreadsheets/d/1Vm-716G97JduFLoJZb41DfodC0qyi9_e/edit?gid=278493818#gid=278493818,,,,
Adidas,"Long John Tsung Right Industrial Co., Ltd",,Apparel & Footwear,,,Changhua,"No.350, Fuxing Rd.",2022,April,https://docs.google.com/spreadsheets/d/1Vm-716G97JduFLoJZb41DfodC0qyi9_e/edit?gid=278493818#gid=278493818,,,,
Adidas,Taiwan Paiho Ltd.,,Apparel & Footwear,,,Changhua,"No.575, Ho Kang Rd., Ho Mei Town,",2022,April,https://docs.google.com/spreadsheets/d/1Vm-716G97JduFLoJZb41DfodC0qyi9_e/edit?gid=278493818#gid=278493818,,,,
Adidas,"Ting Sho Tech Co., Ltd",,Apparel & Footwear,,,Changhua,"No. 11, Xinggong Rd., Pitou Township, Changhua County 523, Taiwan",2022,April,https://docs.google.com/spreadsheets/d/1Vm-716G97JduFLoJZb41DfodC0qyi9_e/edit?gid=278493818#gid=278493818,,,,
Adidas,"Xin Da Co., Ltd",,Apparel & Footwear,,,Changhua,"No.34, Gongye Rd.,, Fangyuan Township",2022,April,https://docs.google.com/spreadsheets/d/1Vm-716G97JduFLoJZb41DfodC0qyi9_e/edit?gid=278493818#gid=278493818,,,,
Adidas,"Chia Lin Sport CO.,LTD",,Apparel & Footwear,,,Changhua,"No.146,Jiagdian Rd.,Hemei Township",2022,March,https://docs.google.com/spreadsheets/d/1Z5_-gU2eGHe01wp2HTvm1DEml6OvElBY/edit?gid=9172785#gid=9172785,,,,
Adidas,Everstrong Spring Industry Co Ltd,,Apparel & Footwear,,,Changhua,"No 45, Sec 4, Fu San Road, Fu Hsing Township, ",2022,March,https://docs.google.com/spreadsheets/d/1Z5_-gU2eGHe01wp2HTvm1DEml6OvElBY/edit?gid=9172785#gid=9172785,,,,
Adidas,Jou Young Industrial Co Ltd,,Apparel & Footwear,,,Changhua,"No 500, Sec 1, Sing Loa Road, Tien Jhong Township",2022,March,https://docs.google.com/spreadsheets/d/1Z5_-gU2eGHe01wp2HTvm1DEml6OvElBY/edit?gid=9172785#gid=9172785,,,,
Adidas,"LIFE-UP CO., LTD.",,Apparel & Footwear,,,Changhua,"NO.163 DONGXING RD, XIHU TOWNSHIP",2022,March,https://docs.google.com/spreadsheets/d/1Z5_-gU2eGHe01wp2HTvm1DEml6OvElBY/edit?gid=9172785#gid=9172785,,,,
Adidas,"Pinda Industry Co., Ltd.",,Apparel & Footwear,,,Changhua,"No. 42, Ln. 461, Caofeng Rd, Xianxi Township, Changhua County",2022,March,https://docs.google.com/spreadsheets/d/1Z5_-gU2eGHe01wp2HTvm1DEml6OvElBY/edit?gid=9172785#gid=9172785,,,,
Adidas,"Super Knitting Co., Ltd",,Apparel & Footwear,,,Changhua,"No.17, Alley 10, Lane 489, Ming-De St., Huatan,",2022,March,https://docs.google.com/spreadsheets/d/1Z5_-gU2eGHe01wp2HTvm1DEml6OvElBY/edit?gid=9172785#gid=9172785,,,,
Adidas,"XU SHENG WANG Enterprise Co., Ltd",,Apparel & Footwear,,,Changhua,"No.21, ZiZhi Ln.,",2022,March,https://docs.google.com/spreadsheets/d/1Z5_-gU2eGHe01wp2HTvm1DEml6OvElBY/edit?gid=9172785#gid=9172785,,,,
Adidas,"Yao I Fabric Co.,Ltd",,Apparel & Footwear,,,Changhua,"No.13 Lugong N.1st Rd, Lukang Township",2022,March,https://docs.google.com/spreadsheets/d/1Z5_-gU2eGHe01wp2HTvm1DEml6OvElBY/edit?gid=9172785#gid=9172785,,,,
Adidas,"Formosa Taffeta Co., Ltd.",,Apparel & Footwear,,,Douliu,"No. 317, Shu Liu Road,",2022,April,https://docs.google.com/spreadsheets/d/1Vm-716G97JduFLoJZb41DfodC0qyi9_e/edit?gid=278493818#gid=278493818,,,,
Adidas,"San Fang Chemical Industry Co., Ltd.",,Apparel & Footwear,,,Kaohsiung,"402 FengJen RD, Jenwu Dist.,",2022,April,https://docs.google.com/spreadsheets/d/1Vm-716G97JduFLoJZb41DfodC0qyi9_e/edit?gid=278493818#gid=278493818,,,,
Adidas,"Elysian Enterprise Co., Ltd.",,Apparel & Footwear,,,Miaoli,"No. 5 JuiHsing Street, ChungHsing Industrial Park",2022,January,https://docs.google.com/spreadsheets/d/1Vm-716G97JduFLoJZb41DfodC0qyi9_e/edit?gid=278493818#gid=278493818,,,,
Adidas,"Jiuh Shin Co., LTD",,Apparel & Footwear,,,Miaoli,"40-19, Bo Kon Kun, Shi-Fu Village",2022,January,https://docs.google.com/spreadsheets/d/1Vm-716G97JduFLoJZb41DfodC0qyi9_e/edit?gid=278493818#gid=278493818,,,,
